customer_id,customer_name,customer_email,customer_status,total_rentals,total_revenue,active_rental_days,unique_films_rented,film_revenue,store_id,total_rentals_per_store,total_store_revenue,rental_month,monthly_rentals,monthly_revenue
1,"MARY SMITH",MARY.SMITH@sakilacustomer.org,Active,6,30.94,4,6,30.94,1,6,30.94,2005-06,6,30.94
1,"MARY SMITH",MARY.SMITH@sakilacustomer.org,Active,8,33.92,7,8,33.92,1,8,33.92,2005-07,8,33.92
1,"MARY SMITH",MARY.SMITH@sakilacustomer.org,Active,6,18.94,4,6,18.94,1,6,18.94,2005-08,6,18.94
1,"MARY SMITH",MARY.SMITH@sakilacustomer.org,Active,2,3.98,2,2,3.98,2,2,3.98,2005-05,2,3.98
1,"MARY SMITH",MARY.SMITH@sakilacustomer.org,Active,1,0.99,1,1,0.99,2,1,0.99,2005-06,1,0.99
1,"MARY SMITH",MARY.SMITH@sakilacustomer.org,Active,4,16.96,3,4,16.96,2,4,16.96,2005-07,4,16.96
1,"MARY SMITH",MARY.SMITH@sakilacustomer.org,Active,5,12.95,4,5,12.95,2,5,12.95,2005-08,5,12.95
2,"PATRICIA JOHNSON",PATRICIA.JOHNSON@sakilacustomer.org,Active,1,4.99,1,1,4.99,1,1,4.99,2005-05,1,4.99
2,"PATRICIA JOHNSON",PATRICIA.JOHNSON@sakilacustomer.org,Active,1,2.99,1,1,2.99,1,1,2.99,2005-06,1,2.99
2,"PATRICIA JOHNSON",PATRICIA.JOHNSON@sakilacustomer.org,Active,8,41.92,5,8,41.92,1,8,41.92,2005-07,8,41.92
2,"PATRICIA JOHNSON",PATRICIA.JOHNSON@sakilacustomer.org,Active,6,27.94,4,6,27.94,1,6,27.94,2005-08,6,27.94
2,"PATRICIA JOHNSON",PATRICIA.JOHNSON@sakilacustomer.org,Active,6,33.94,3,6,33.94,2,6,33.94,2005-07,6,33.94
2,"PATRICIA JOHNSON",PATRICIA.JOHNSON@sakilacustomer.org,Active,5,16.95,5,5,16.95,2,5,16.95,2005-08,5,16.95
3,"LINDA WILLIAMS",LINDA.WILLIAMS@sakilacustomer.org,Active,1,1.99,1,1,1.99,1,1,1.99,2005-05,1,1.99
3,"LINDA WILLIAMS",LINDA.WILLIAMS@sakilacustomer.org,Active,3,16.97,3,3,16.97,1,3,16.97,2005-06,3,16.97
3,"LINDA WILLIAMS",LINDA.WILLIAMS@sakilacustomer.org,Active,9,40.91,5,9,40.91,1,9,40.91,2005-07,9,40.91
3,"LINDA WILLIAMS",LINDA.WILLIAMS@sakilacustomer.org,Active,4,16.96,4,4,16.96,1,4,16.96,2005-08,4,16.96
3,"LINDA WILLIAMS",LINDA.WILLIAMS@sakilacustomer.org,Active,1,2.99,1,1,2.99,2,1,2.99,2005-05,1,2.99
3,"LINDA WILLIAMS",LINDA.WILLIAMS@sakilacustomer.org,Active,1,8.99,1,1,8.99,2,1,8.99,2005-06,1,8.99
3,"LINDA WILLIAMS",LINDA.WILLIAMS@sakilacustomer.org,Active,4,27.96,3,4,27.96,2,4,27.96,2005-07,4,27.96
3,"LINDA WILLIAMS",LINDA.WILLIAMS@sakilacustomer.org,Active,3,18.97,3,3,18.97,2,3,18.97,2005-08,3,18.97
4,"BARBARA JONES",BARBARA.JONES@sakilacustomer.org,Active,2,6.98,2,2,6.98,1,2,6.98,2005-06,2,6.98
4,"BARBARA JONES",BARBARA.JONES@sakilacustomer.org,Active,3,14.97,2,3,14.97,1,3,14.97,2005-07,3,14.97
4,"BARBARA JONES",BARBARA.JONES@sakilacustomer.org,Active,4,20.96,4,4,20.96,1,4,20.96,2005-08,4,20.96
4,"BARBARA JONES",BARBARA.JONES@sakilacustomer.org,Active,4,9.96,3,4,9.96,2,4,9.96,2005-06,4,9.96
4,"BARBARA JONES",BARBARA.JONES@sakilacustomer.org,Active,2,6.98,2,2,6.98,2,2,6.98,2005-07,2,6.98
4,"BARBARA JONES",BARBARA.JONES@sakilacustomer.org,Active,7,21.93,5,7,21.93,2,7,21.93,2005-08,7,21.93
5,"ELIZABETH BROWN",ELIZABETH.BROWN@sakilacustomer.org,Active,1,6.99,1,1,6.99,1,1,6.99,2005-05,1,6.99
5,"ELIZABETH BROWN",ELIZABETH.BROWN@sakilacustomer.org,Active,1,2.99,1,1,2.99,1,1,2.99,2005-06,1,2.99
5,"ELIZABETH BROWN",ELIZABETH.BROWN@sakilacustomer.org,Active,9,33.91,9,9,33.91,1,9,33.91,2005-07,9,33.91
